,Shopping Centre Name,Suburb,Latitude,Longitude
0,206 BOURKE STREET Victoria, Melbourne,-37.812733,144.966947
1,ACLAND COURT SHOPPING CENTRE Victoria, St Kilda,-37.868967,144.980617
2,ALTONA GATE SHOPPING CENTRE Victoria, Melbourne,-37.828989,144.84627
3,BALNARRING VILLAGE SHOPPING CENTRE Victoria, Balnarring,-38.373199,145.12501
4,BARKLY SQUARE Victoria, Brunswick,-37.775695,144.962004
5,BARRABOOL HILLS PLAZA Victoria, Geelong,-38.161872,144.305826
6,BAYSIDE SHOPPING CENTRE Victoria, Frankston,-38.141951,145.124068
7,BELLARINE VILLAGE SHOPPING CENTRE Victoria, Newcomb,-38.168784,144.388547
8,BELLPOST SHOPPING CENTRE Victoria, Geelong,-38.089309,144.336645
9,BELMONT VILLAGE Victoria, Belmont,-38.170104,144.349107
10,BENDIGO MARKETPLACE Victoria, Bendigo,-36.765765,144.280743
11,BENTONS SQUARE SHOPPING CENTRE Victoria, Mornington,-38.245416,145.048067
12,BERWICK MARKETPLACE Victoria, Berwick,-38.02951,145.346619
13,BIRALLEE VILLAGE SHOPPING CENTRE Victoria, Wodonga,-36.127763,146.86482
14,BOURKE STREET MALL Victoria, Melbourne,-37.813538,144.964386
15,BOX HILL CENTRAL Victoria, Box Hill,-37.818677,145.12179
16,BRAND SMART PREMIUM OUTLET CENTRE Victoria, Nunawading,-37.819375,145.1714718
17,BRANDON PARK SHOPPING CENTRE Victoria, Wheelers Hill,-37.905522,145.161647
18,BRAYBROOK SHOPPING CENTRE Victoria, Braybrook,-37.782172,144.86422
19,BRIMBANK CENTRAL SHOPPING CENTRE Victoria, Deer Park,-37.751223,144.775276
20,BROADMEADOWS SHOPPING CENTRE Victoria, Broadmeadows,-37.680244,144.91953
21,BULLEEN PLAZA Victoria, Bulleen,-37.76613,145.091637
22,BURNSIDE HUB Victoria, Burnside,-37.75938,144.753677
23,BURWOOD ONE SHOPPING CENTRE Victoria, Burwood East,-37.853784,145.149761
24,CAMBERWELL SUNDAY MARKET Victoria, Camberwell,-37.82931,145.058043
25,CAMPBELLFIELD PLAZA Victoria, Melbourne,-37.689343,144.960737
26,CANTERBURY GARDENS SHOPPING CENTRE Victoria, Bayswater,-37.822732,145.301494
27,CARNEGIE CENTRAL Victoria, Carnegie,-37.884786,145.058444
28,CAULFIELD PLAZA SHOPPING CENTRE Victoria, Caulfield East,-37.876146,145.04284
29,CENTRAL SQUARE SHOPPING CENTRE Victoria, Altona Meadows,-37.873122,144.776038
30,CENTRAL WEST SHOPPING CENTRE Victoria, Braybrook,-37.793489,144.861609
31,CENTRO SUNSHINE MARKETPLACE Victoria, Sunshine,-37.78187,144.831506
32,CENTURY CITY WALK Victoria, Glen Waverley,-37.881427,145.164632
33,CHADSTONE THE FASHION CAPITAL Victoria, Chadstone,-37.886038881076,145.08346106348
34,CHIRNSIDE HOMEMAKER CENTRE Victoria, Chirnside Park,-37.765247,145.305655
35,CHIRNSIDE PARK SHOPPING CENTRE Victoria, Chirnside Park,-37.758258,145.313972
36,CIVIC SQUARE SHOPPING CENTRE Victoria, Croydon,-37.799301795285,145.28299318557
37,COBURG HILL SHOPPING CENTRE Victoria, Coburg North,-37.729625,144.983537
38,COLLINS PLACE Victoria, Melbourne,-37.814312,144.97268
39,COLLINS234 BOUTIQUE PLACE Victoria, Melbourne,-37.815545,144.965749
40,CORIO VILLAGE SHOPPING CENTRE Victoria, Corio,-38.074772,144.355819
41,CRAIGIEBURN CENTRAL Victoria, Craigieburn,-37.592986,144.912268
42,CRANBOURNE HOMEMAKER CENTRE Victoria, Cranbourne,-38.085817,145.279178
43,CRANBOURNE PARK Victoria, Cranbourne,-38.109657,145.282017
44,CROYDON CENTRAL SHOPPING CENTRE Victoria, Croydon,-37.794026,145.278937
45,CS SQUARE SHOPPING CENTRE Victoria, Caroline Springs,-37.731774,144.743748
46,DANDENONG PLAZA Victoria, Dandenong,-37.986731,145.217684
47,DARLEY PLAZA Victoria, Darley,-37.659449,144.440871
48,DFO ESSENDON Victoria, Essendon,-37.733125,144.906547
49,DFO MOORABBIN Victoria, Moorabbin,-37.971261,145.08812
50,DFO SOUTH WHARF Victoria, South Wharf,-37.825196,144.949879
51,DIAMOND CREEK SHOPPING STATION Victoria, Diamond Creek,-37.673551,145.15957
52,DINGLEY VILLAGE SHOPPING CENTRE Victoria, Dingley Village,-37.983412,145.132541
53,DROMANA HUB SHOPPING CENTRE Victoria, Dromana,-38.333538,144.964645
54,EASTLAND SHOPPING CENTRE Victoria, Ringwood,-37.812672,145.229157
55,EASTWOOD VILLAGE SHOPPING CENTRE Victoria, Bairnsdale,-37.826676,147.629682
56,ELIZA SQUARE SHOPPING CENTRE Victoria, Mount Eliza,-38.183794,145.089375
57,ELTHAM VILLAGE SHOPPING CENTRE Victoria, Eltham,-37.714902,145.148743
58,EMPORIUM MELBOURNE Victoria, Melbourne,-37.812517,144.963555
59,ENDEAVOUR HILLS SHOPPING CENTRE Victoria, Endeavour Hills,-37.976993,145.258788
60,EPPING NORTH SHOPPING CENTRE Victoria, Epping,-37.628168,145.027155
61,FEDERATION SQUARE (FED SQUARE) Victoria, Melbourne,-37.81797,144.969024
62,FOOTSCRAY MARKET Victoria, Footscray,-37.800522,144.901875
63,FOOTSCRAY PLAZA SHOPPING CENTRE Victoria, Footscray,-37.802426,144.894785
64,FOREST HILL CHASE SHOPPING CENTRE Victoria, Forest Hill,-37.835453,145.164718
65,FRANKSTON POWER CENTRE Victoria, Frankston,-38.148946,145.137326
66,GALLERIA MELBOURNE Victoria, Melbourne,-37.814824,144.962743
67,GATEWAY PLAZA Victoria, Warrnambool,-38.381608,142.519768
68,GEELONG GATE HOMEMAKER CENTRE Victoria, Geelong,-38.065015,144.383085
69,GIPPSLAND CENTRE Victoria, Sale,-38.106745,147.06271
70,GISBORNE VILLAGE SHOPPING CENTRE Victoria, Gisborne,-37.485605,144.589909
71,GLADSTONE PARK SHOPPING CENTRE Victoria, Gladstone Park,-37.688293,144.88463
72,GREENSBOROUGH PLAZA Victoria, Greensborough,-37.702696,145.102816
73,GREENVALE SHOPPING CENTRE Victoria, Greenvale,-37.639349,144.881948
74,HAMPTON PARK SHOPPING CENTRE Victoria, Hampton Park,-38.032654,145.265843
75,HARBOUR TOWN MELBOURNE Victoria, Docklands,-37.812574,144.939344
76,HARVEY NORMAN - WANGARATTA Victoria, Wangaratta,-36.356748,146.325113
77,HARVEY NORMAN CENTRE - HOPPERS CROSSING Victoria, Hoppers Crossing,-37.875109,144.710844
78,HARVEY NORMAN CENTRE MARIBYRNONG Victoria, Maribyrnong,-37.772658,144.885527
79,HARVEY NORMAN CENTRE WARRNAMBOOL Victoria, Warrnambool,-38.383231,142.523999
80,HEALESVILLE WALK SHOPPING CENTRE Victoria, Healesville,-37.652833,145.518043
81,HIGHETT SHOPPING CENTRE Victoria, Highett,-37.949024,145.041367
82,HIGHPOINT SHOPPING CENTRE Victoria, Maribyrnong,-37.77369,144.888781
83,HOGAN'S CORNER SHOPPING CENTRE Victoria, Hoppers Crossing,-37.861908,144.68726
84,HOME QUARTER DANDENONG Victoria, Dandenong,-38.005209,145.21853
85,HOMECO. BALLARAT (FORM. WENDOUREE HOMEMAKER CENTRE) Victoria, Wendouree,-37.5343837,143.8211086
86,HOMEMAKER CITY MARIBYRNONG Victoria, Maribyrnong,-37.771563,144.884429
87,HOMEMAKERS ALBURY WODONGA Victoria, Wodonga,-36.137884,146.90877
88,HOMEPLUS HOMEMAKER CENTRE Victoria, Chadstone,-37.877598,145.091922
89,HORSHAM PLAZA Victoria, Horsham,-36.715718,142.196203
90,IVANHOE PLAZA Victoria, Ivanhoe,-37.768183,145.04146
91,KARINGAL HUB SHOPPING CENTRE Victoria, Frankston,-38.153172,145.165494
92,KEILOR SHOPPING CENTRE Victoria, Keilor Downs,-37.727952,144.806774
93,KENNINGTON VILLAGE SHOPPING CENTRE Victoria, Bendigo,-36.775409,144.306331
94,LANSELL SQUARE Victoria, Kangaroo Flat,-36.810475,144.242283
95,LILYDALE MARKETPLACE Victoria, Lilydale,-37.759801,145.348895
96,LYNBROOK VILLAGE SHOPPING CENTRE Victoria, Lynbrook,-38.05177,145.256595
97,MALVERN CENTRAL Victoria, Malvern,-37.863028,145.027026
98,MANOR LAKES CENTRAL SHOPPING CENTRE Victoria, Manor,-37.876281,144.614452
99,MARKET SQUARE SHOPPING CENTRE Victoria, Geelong,-38.147951,144.361964
100,MEADOW HEIGHTS SHOPPING CENTRE Victoria, Meadow Heights,-37.650845,144.922161
101,MELBOURNE CENTRAL SHOPPING CENTRE Victoria, Melbourne,-37.810813,144.962812
102,MELBOURNE GPO Victoria, Melbourne,-37.813692,144.963206
103,MELTON GATEWAY Victoria, Melton,-37.688442,144.603102
104,MIDVALLEY SHOPPING CENTRE Victoria, Morwell,-38.236989,146.429798
105,MILDURA CENTRAL Victoria, Mildura,-34.208196,142.138774
106,MILLEARA SHOPPING CENTRE Victoria, Keilor East,-37.749591,144.861442
107,MITCHAM SHOPPING CENTRE Victoria, Mitcham,-37.815739,145.192535
108,MOONEE PONDS CENTRAL Victoria, Moonee Ponds,-37.765648,144.922669
109,MOORABBIN HOUSE AND HOME CENTRE Victoria, Moorabbin,-37.939558,145.038272
110,MORDIALLOC PLAZA Victoria, Mordialloc,-38.008072,145.086614
111,MORNINGTON CENTRAL Victoria, Mornington,-38.218566,145.039113
112,MORNINGTON VILLAGE SHOPPING CENTRE Victoria, Mornington,-38.223672,145.040597
113,MOUNTAIN GATE SHOPPING CENTRE Victoria, Ferntree Gully,-37.883678,145.274908
114,MOUNTAIN HIGH SHOPPING CENTRE Victoria, Bayswater,-37.840921,145.265094
115,MYER BOURKE STREET Victoria, Melbourne,-37.813881,144.963993
116,NEWCOMB CENTRAL SHOPPING CENTRE Victoria, Newcomb,-38.169956,144.39147
117,NORTH BLACKBURN SHOPPING CENTRE Victoria, Blackburn,-37.812013,145.152392
118,NORTHCOTE SHOPPING PLAZA Victoria, Melbourne,-37.768556,145.001845
119,NORTHLAND HOMEMAKER CENTRE Victoria, Preston,-37.741697,145.027778
120,NORTHLAND SHOPPING CENTRE Victoria, Preston,-37.739018,145.029845
121,OAKLEIGH CENTRAL Victoria, Oakleigh,-37.901055,145.090211
122,OCEAN GROVE MARKETPLACE Victoria, Ocean Grove,-38.258894,144.548297
123,PACIFIC EPPING Victoria, Epping,-37.653869,145.018678
124,PACIFIC WERRIBEE PLAZA Victoria, Werribee,-37.875219,144.679643
125,PAKENHAM CENTRAL MARKETPLACE Victoria, Pakenham,-38.0775,145.483931
126,PAKENHAM PLACE SHOPPING CENTRE Victoria, Pakenham,-38.079019,145.480817
127,PAKINGTON STRAND Victoria, Geelong,-38.137503,144.347662
128,PAKINGTON STRAND SHOPPING CENTRE Victoria, Geelong,-38.136985,144.347624
129,PARKDALE PLAZA Victoria, Parkdale,-37.997395,145.084297
130,PARKHILL PLAZA SHOPPING CENTRE Victoria, Berwick,-38.014211,145.322697
131,PARKMORE SHOPPING CENTRE Victoria, Keysborough,-37.992893,145.173138
132,PINEWOOD SHOPPING VILLAGE Victoria, Mount Waverley,-37.892422,145.145241
133,PRAN CENTRAL SHOPPING CENTRE Victoria, Prahran,-37.846954,144.993643
134,PRESTON MARKET Victoria, Preston,-37.739352,145.00178
135,QUEEN VICTORIA MARKET Victoria, Melbourne,-37.807962,144.955688
136,QV - QUEEN VICTORIA VILLAGE Victoria, Melbourne,-37.810696,144.965716
137,RINGWOOD SQUARE SHOPPING CENTRE Victoria, Ringwood,-37.815398,145.222226
138,RITCHIES VILLAGE CENTRE Victoria, Mount Eliza,-38.185074,145.089676
139,ROSEBUD PLAZA Victoria, Rosebud,-38.361526,144.891378
140,ROXBURGH PARK SHOPPING CENTRE Victoria, Roxburgh Park,-37.639405,144.932287
141,ROYAL ARCADE Victoria, Melbourne,-37.814699,144.963505
142,RUNWAY PLAZA Victoria, Melbourne,-37.724585,144.893951
143,SHEPPARTON MARKETPLACE Victoria, Shepparton,-36.387641,145.423834
144,SPENCER OUTLET CENTRE Victoria, Melbourne,-37.816219,144.952153
145,SPENCER STREET FASHION STATION Victoria, Melbourne,-37.81898,144.954095
146,SPRINGVALE HOMEMAKER CENTRE Victoria, Springvale,-37.927444,145.143394
147,ST HELENA MARKETPLACE Victoria, St Helena,-37.685088,145.135792
148,STOCKLAND HIGHLANDS SHOPPING CENTRE Victoria, Craigieburn,-37.5751264,144.9201082
149,STOCKLAND POINT COOK SHOPPING CENTRE Victoria, Point Cook,-37.883369895772,144.73538783062
150,STOCKLAND THE PINES Victoria, Doncaster,-37.763554,145.168284
151,STOCKLAND TOORONGA SHOPPING CENTRE Victoria, Glen Iris,-37.845596113968,145.04558170316
152,STOCKLAND WENDOUREE Victoria, Ballart,-37.53431,143.823885
153,STRATH VILLAGE SHOPPING CENTRE Victoria, Bendigo,-36.774541,144.305047
154,STUD PARK Victoria, Rowville,-37.920638,145.237115
155,SUNBURY SQUARE SHOPPING CENTRE Victoria, Sunbury,-37.577542,144.729432
156,TARGET CENTRE MELBOURNE Victoria, Melbourne,-37.813077,144.966529
157,TARNEIT GARDENS SHOPPING CENTRE Victoria, Tarneit,-37.839616,144.673555
158,THE COMO CENTRE Victoria, South Yarra,-37.838366,144.996065
159,THE GATEWAY Victoria, Warrnambool,-38.381549,142.520583
160,THE GLEN SHOPPING CENTRE Victoria, Glen Waverley,-37.87639,145.165638
161,THE JAM FACTORY Victoria, South Yarra,-37.842618,144.995792
162,THE LOCAL VILLAGE Victoria, Carrum Downs,-38.0886367,145.1825171
163,THE MALL BORONIA Victoria, Boronia,-37.860342,145.286693
164,THE PARAMOUNT RETAIL CENTRE Victoria, Melbourne,-37.811333,144.969441
165,THE STRAND MELBOURNE Victoria, Melbourne,-37.813277,144.962665
166,THE WALK ARCADE Victoria, Melbourne,-37.814766,144.964729
167,THRIFT PARK SHOPPING CENTRE Victoria, Mentone,-37.984204,145.076943
168,TOK H CENTRE Victoria, Toorak,-37.84066,145.008246
169,TRARALGON CENTRE PLAZA Victoria, Traralgon,-38.194538,146.53939
170,VERMONT SOUTH SHOPPING CENTRE Victoria, Vermont South,-37.855243,145.182224
171,VICTORIA GARDENS SHOPPING CENTRE Victoria, Richmond,-37.812724,145.010977
172,VOGUE SHOPPING CENTRE Victoria, Melbourne,-37.837395,144.996158
173,WARRINGAL SHOPPING CENTRE Victoria, Heidelberg,-37.755915,145.068739
174,WATERFRONT CITY Victoria, Melbourne,-37.814342,144.939035
175,WATERGARDENS TOWN CENTRE Victoria, Taylors Lakes,-37.699266,144.775813
176,WATERVALE SHOPPING CENTRE Victoria, Sydenham,-37.723117,144.751043
177,WAVERLEY GARDENS SHOPPING CENTRE Victoria, Mulgrave,-37.935473,145.189605
178,WELLINGTON VILLAGE SHOPPING CENTRE Victoria, Rowville,-37.92821,145.252208
179,WESTFIELD AIRPORT WEST Victoria, Melbourne,-37.714077,144.886366
180,WESTFIELD DONCASTER Victoria, Doncaster,-37.78685,145.125332
181,WESTFIELD FOUNTAIN GATE Victoria, Fountain Gate,-38.017692,145.303787
182,WESTFIELD GEELONG Victoria, Geelong,-38.146987,144.362575
183,WESTFIELD KNOX Victoria, Wantirna South,-37.86927,145.24004
184,WESTFIELD PLENTY VALLEY Victoria, Mill Park,-37.651367,145.071752
185,WESTFIELD SOUTHLAND Victoria, Cheltenham,-37.958445,145.054806
186,WODONGA PLAZA Victoria, Wodonga,-36.121153,146.881917
187,WOODGROVE SHOPPING CENTRE Victoria, Melton,-37.686167,144.56127
188,WOOLWORTHS WHITEBOX RISE WODONGA Victoria, Wodonga,-36.139008,146.892456
189,WYNDHAM VALE SQUARE SHOPPING CENTRE Victoria, Wyndham Vale,-37.888057,144.607036
190,WYNDHAM VILLAGE SHOPPING CENTRE Victoria, Tarneit,-37.849333,144.704302
